index,plate from,well from,native_from,plate to,well to,native to,volume,chaser,map,mixture1 (from),solvent (from),standard (from),volume (from),mixture1 (to),solvent (to),standard (to),volume (to),"Y, ppm","Na, ppm"
1,plate1,A3,A3,ICP1,A3,F3,125.0,2200,11,0.0049689364124650155,0.0012437810945273853,0.9937872824930076,100500.0,0.00026747980527470054,0.946236559139785,0.05349596105494035,2325.0,0.6152035521318138,0.05349596105494011
2,plate1,B3,B3,ICP1,A4,F4,125.0,2200,14,0.0049689364124650155,0.0012437810945273853,0.9937872824930076,100500.0,0.00026747980527470054,0.946236559139785,0.05349596105494035,2325.0,0.6152035521318138,0.05349596105494011
