index,plate from,well from,native_from,plate to,well to,native to,volume,chaser,map,solvent (from),standard (from),volume (from),solvent (to),standard (to),volume (to),"Y, ppm"
1,plate1,A1,A1,ICP1,A1,F1,250,2250,17,0.0024999999999999467,0.9975,100000.0,0.9,0.1,2500.0,1.0
2,plate1,B1,B1,ICP1,A2,F2,250,2250,20,0.0024999999999999467,0.9975,100000.0,0.9,0.1,2500.0,1.0
3,plate1,C1,C1,ICP1,A3,F3,250,2250,23,0.0024999999999999467,0.9975,100000.0,0.9,0.1,2500.0,1.0
4,plate1,A2,A2,ICP1,A4,F4,250,2250,26,0.0024999999999999467,0.9975,100000.0,0.9,0.1,2500.0,1.0
5,plate1,B2,B2,ICP1,A5,F5,250,2250,29,0.0024999999999999467,0.9975,100000.0,0.9,0.1,2500.0,1.0
6,plate1,C2,C2,ICP1,A6,F6,250,2250,32,0.0024999999999999467,0.9975,100000.0,0.9,0.1,2500.0,1.0
