plate,well,mixture1,mixture2,mixture3,mixture4,mixture5,mixture6
plate1,A3,4500,,,,,
plate1,B3,2250,,,2250,,
plate1,C3,2250,2250,,,,
plate1,A4,2250,,2250,,,
plate1,B4,,,,4500,,
plate1,C4,1125,1125,1125,1125,,
