index,plate from,well from,native_from,plate to,well to,native to,volume,chaser,map,solvent (from),standard (from),volume (from),solvent (to),standard (to),volume (to),"Y, ppm"
1,plate1,A1,A1,ICP1,A5,F5,250,2200,10,0.0024999999999999467,0.9975,100000.0,0.8979591836734694,0.10204081632653061,2450.0,1.0204081632653061
2,plate1,B1,B1,ICP1,A6,F6,250,2200,14,0.0024999999999999467,0.9975,100000.0,0.8979591836734694,0.10204081632653061,2450.0,1.0204081632653061
3,plate1,A1,A1,ICP1,A7,F7,250,2200,18,0.004993749999999894,0.9950062500000001,100000.0,0.8982142857142857,0.1017857142857143,2450.0,1.017857142857143
4,plate1,B1,B1,ICP1,A8,F8,250,2200,22,0.004993749999999894,0.9950062500000001,100000.0,0.8982142857142857,0.1017857142857143,2450.0,1.017857142857143
5,plate1,A1,A1,ICP1,A9,F9,250,2200,26,0.007481265624999842,0.9925187343750002,100000.0,0.89846875,0.10153125000000002,2450.0,1.0153125
6,plate1,B1,B1,ICP1,A10,F10,250,2200,30,0.007481265624999842,0.9925187343750002,100000.0,0.89846875,0.10153125000000002,2450.0,1.0153125
7,plate1,A1,A1,ICP1,A11,F11,250,2200,34,0.00996256246093729,0.9900374375390627,100000.0,0.898722578125,0.10127742187500002,2450.0,1.0127742187500002
8,plate1,B1,B1,ICP1,A12,F12,250,2200,38,0.00996256246093729,0.9900374375390627,100000.0,0.898722578125,0.10127742187500002,2450.0,1.0127742187500002
9,plate1,A1,A1,ICP1,A13,F13,250,2200,42,0.012437656054784894,0.9875623439452151,100000.0,0.8989757716796875,0.10102422832031252,2450.0,1.0102422832031253
10,plate1,B1,B1,ICP1,A14,F14,250,2200,46,0.012437656054784894,0.9875623439452151,100000.0,0.8989757716796875,0.10102422832031252,2450.0,1.0102422832031253
11,plate1,A1,A1,ICP1,A15,F15,250,2200,50,0.014906561914647879,0.9850934380853521,100000.0,0.8992283322504883,0.10077166774951175,2450.0,1.0077166774951176
12,plate1,B1,B1,ICP1,B1,E1,250,2200,54,0.014906561914647879,0.9850934380853521,100000.0,0.8992283322504883,0.10077166774951175,2450.0,1.0077166774951176
13,plate1,A1,A1,ICP1,B2,E2,250,2200,58,0.01736929550986121,0.9826307044901388,100000.0,0.899480261419862,0.10051973858013798,2450.0,1.0051973858013799
14,plate1,B1,B1,ICP1,B3,E3,250,2200,62,0.01736929550986121,0.9826307044901388,100000.0,0.899480261419862,0.10051973858013798,2450.0,1.0051973858013799
15,plate1,A1,A1,ICP1,B4,E4,250,2200,66,0.019825872271086502,0.9801741277289134,100000.0,0.8997315607663123,0.10026843923368764,2450.0,1.0026843923368765
16,plate1,B1,B1,ICP1,B5,E5,250,2200,70,0.019825872271086502,0.9801741277289134,100000.0,0.8997315607663123,0.10026843923368764,2450.0,1.0026843923368765
17,plate1,A1,A1,ICP1,B6,E6,250,2200,74,0.022276307590408734,0.9777236924095912,100000.0,0.8999822318643966,0.10001776813560341,2450.0,1.0001776813560344
18,plate1,B1,B1,ICP1,B7,E7,250,2200,78,0.022276307590408734,0.9777236924095912,100000.0,0.8999822318643966,0.10001776813560341,2450.0,1.0001776813560344
19,plate1,A1,A1,ICP1,B8,E8,250,2200,82,0.02472061682143266,0.9752793831785673,100000.0,0.9002322762847356,0.09976772371526442,2450.0,0.9976772371526442
20,plate1,B1,B1,ICP1,B9,E9,250,2200,86,0.02472061682143266,0.9752793831785673,100000.0,0.9002322762847356,0.09976772371526442,2450.0,0.9976772371526442
21,plate1,A1,A1,ICP1,B10,E10,250,2200,90,0.027158815279379026,0.972841184720621,100000.0,0.9004816955940237,0.09951830440597625,2450.0,0.9951830440597627
22,plate1,B1,B1,ICP1,B11,E11,250,2200,94,0.027158815279379026,0.972841184720621,100000.0,0.9004816955940237,0.09951830440597625,2450.0,0.9951830440597627
23,plate1,A1,A1,ICP1,B12,E12,250,2200,98,0.029590918241180528,0.9704090817588195,100000.0,0.9007304913550387,0.09926950864496133,2450.0,0.9926950864496134
24,plate1,B1,B1,ICP1,B13,E13,250,2200,102,0.029590918241180528,0.9704090817588195,100000.0,0.9007304913550387,0.09926950864496133,2450.0,0.9926950864496134
25,plate1,A1,A1,ICP1,B14,E14,250,2200,106,0.03201694094557753,0.9679830590544225,100000.0,0.900978665126651,0.09902133487334892,2450.0,0.9902133487334893
26,plate1,B1,B1,ICP1,B15,E15,250,2200,110,0.03201694094557753,0.9679830590544225,100000.0,0.900978665126651,0.09902133487334892,2450.0,0.9902133487334893
27,plate1,A1,A1,ICP1,C1,D1,250,2200,114,0.034436898593213534,0.9655631014067865,100000.0,0.9012262184638344,0.09877378153616556,2450.0,0.9877378153616557
28,plate1,B1,B1,ICP1,C2,D2,250,2200,118,0.034436898593213534,0.9655631014067865,100000.0,0.9012262184638344,0.09877378153616556,2450.0,0.9877378153616557
29,plate1,A1,A1,ICP1,C3,D3,250,2200,122,0.03685080634673045,0.9631491936532696,100000.0,0.9014731529176748,0.09852684708232515,2450.0,0.9852684708232518
30,plate1,B1,B1,ICP1,C4,D4,250,2200,126,0.03685080634673045,0.9631491936532696,100000.0,0.9014731529176748,0.09852684708232515,2450.0,0.9852684708232518
31,plate1,A1,A1,ICP1,C5,D5,250,2200,130,0.03925867933086357,0.9607413206691364,100000.0,0.9017194700353807,0.09828052996461935,2450.0,0.9828052996461936
32,plate1,B1,B1,ICP1,C6,D6,250,2200,134,0.03925867933086357,0.9607413206691364,100000.0,0.9017194700353807,0.09828052996461935,2450.0,0.9828052996461936
33,plate1,A1,A1,ICP1,C7,D7,250,2200,138,0.041660532632536364,0.9583394673674637,100000.0,0.9019651713602922,0.0980348286397078,2450.0,0.9803482863970782
