index,timestamp,well,name,value
3535,05/12/2025 15:23:10,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3549,05/12/2025 15:23:10,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3634,05/12/2025 15:23:11,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3681,05/12/2025 15:23:11,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3829,05/12/2025 15:23:33,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3876,05/12/2025 15:23:33,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3906,05/12/2025 15:23:34,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3953,05/12/2025 15:23:35,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
4057,05/12/2025 15:23:46,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
4104,05/12/2025 15:23:46,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
4138,05/12/2025 15:23:51,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
4185,05/12/2025 15:23:52,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
4402,05/12/2025 15:23:54,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
4425,05/12/2025 15:23:54,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
4448,05/12/2025 15:23:54,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
4495,05/12/2025 15:23:54,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
4546,05/12/2025 15:23:59,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
4593,05/12/2025 15:23:59,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
4627,05/12/2025 15:24:03,1,Output : Volume Dispensed,250
4665,05/12/2025 15:24:07,1,Output : Volume Dispensed,2200
4710,05/12/2025 15:24:11,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
4757,05/12/2025 15:24:11,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
6094,05/12/2025 15:24:57,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
6117,05/12/2025 15:24:57,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
6157,05/12/2025 15:24:57,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
6204,05/12/2025 15:24:58,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
6275,05/12/2025 15:25:09,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
6322,05/12/2025 15:25:09,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
6363,05/12/2025 15:25:12,1,Output : Volume Dispensed,250
6383,05/12/2025 15:25:16,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
6430,05/12/2025 15:25:16,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
8005,05/12/2025 15:26:02,2,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 1"
8019,05/12/2025 15:26:02,2,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 1"
8104,05/12/2025 15:26:03,2,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 1"
8151,05/12/2025 15:26:03,2,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 1"
8299,05/12/2025 15:26:25,2,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 1"
8346,05/12/2025 15:26:25,2,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 1"
8376,05/12/2025 15:26:26,2,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 1"
8423,05/12/2025 15:26:27,2,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 1"
8527,05/12/2025 15:26:38,2,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 1"
8574,05/12/2025 15:26:38,2,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 1"
8608,05/12/2025 15:26:43,2,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 1"
8655,05/12/2025 15:26:43,2,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 1"
8916,05/12/2025 15:26:47,2,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 2"
8939,05/12/2025 15:26:47,2,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 2"
8962,05/12/2025 15:26:47,2,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 2"
9009,05/12/2025 15:26:47,2,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 2"
9060,05/12/2025 15:26:52,2,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 2"
9107,05/12/2025 15:26:52,2,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 2"
9141,05/12/2025 15:26:56,2,Output : Volume Dispensed,250
9179,05/12/2025 15:27:00,2,Output : Volume Dispensed,2200
9224,05/12/2025 15:27:04,2,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 2"
9271,05/12/2025 15:27:04,2,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 2"
10560,05/12/2025 15:28:01,5,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 1"
10583,05/12/2025 15:28:02,5,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 1"
10623,05/12/2025 15:28:02,5,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 1"
10670,05/12/2025 15:28:02,5,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 1"
10741,05/12/2025 15:28:37,5,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 1"
10788,05/12/2025 15:28:37,5,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 1"
10829,05/12/2025 15:28:41,5,Output : Volume Dispensed,250
10849,05/12/2025 15:28:45,5,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 1"
10896,05/12/2025 15:28:45,5,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 1"
