index,timestamp,well,name,value
3749,05/15/2025 12:49:42,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3763,05/15/2025 12:49:42,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3848,05/15/2025 12:49:43,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3895,05/15/2025 12:49:43,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3916,05/15/2025 12:49:45,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
4064,05/15/2025 12:50:19,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
4111,05/15/2025 12:50:19,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
4141,05/15/2025 12:50:21,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
4188,05/15/2025 12:50:21,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
4292,05/15/2025 12:50:32,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
4339,05/15/2025 12:50:33,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
4373,05/15/2025 12:50:37,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
4420,05/15/2025 12:50:38,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
4637,05/15/2025 12:50:40,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
4660,05/15/2025 12:50:40,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
4683,05/15/2025 12:50:40,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
4730,05/15/2025 12:50:40,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
4781,05/15/2025 12:50:45,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
4828,05/15/2025 12:50:45,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
4862,05/15/2025 12:50:49,1,Output : Volume Dispensed,250
4900,05/15/2025 12:50:53,1,Output : Volume Dispensed,2200
4945,05/15/2025 12:50:57,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
4992,05/15/2025 12:50:57,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
6216,05/15/2025 12:51:41,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
6239,05/15/2025 12:51:41,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
6279,05/15/2025 12:51:41,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
6326,05/15/2025 12:51:41,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
6397,05/15/2025 12:51:52,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
6444,05/15/2025 12:51:53,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
6485,05/15/2025 12:51:56,1,Output : Volume Dispensed,250
6505,05/15/2025 12:52:00,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
6552,05/15/2025 12:52:00,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
