index,timestamp,well,name,value
2803,05/15/2025 16:46:07,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
2817,05/15/2025 16:46:07,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
2902,05/15/2025 16:46:08,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
2949,05/15/2025 16:46:08,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3097,05/15/2025 16:46:30,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3144,05/15/2025 16:46:30,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3174,05/15/2025 16:46:31,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3221,05/15/2025 16:46:32,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3325,05/15/2025 16:46:43,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3372,05/15/2025 16:46:44,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3406,05/15/2025 16:46:48,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3453,05/15/2025 16:46:49,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3714,05/15/2025 16:46:52,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
3737,05/15/2025 16:46:52,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
3760,05/15/2025 16:46:52,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
3807,05/15/2025 16:46:52,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
3858,05/15/2025 16:46:57,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
3905,05/15/2025 16:46:57,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
3939,05/15/2025 16:47:01,1,Output : Volume Dispensed,250
3977,05/15/2025 16:47:05,1,Output : Volume Dispensed,2200
4022,05/15/2025 16:47:09,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
4069,05/15/2025 16:47:09,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
5321,05/15/2025 16:47:54,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
5344,05/15/2025 16:47:54,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
5384,05/15/2025 16:47:54,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
5431,05/15/2025 16:47:54,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
5502,05/15/2025 16:48:05,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
5549,05/15/2025 16:48:06,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
5590,05/15/2025 16:48:09,1,Output : Volume Dispensed,250
5610,05/15/2025 16:48:13,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
5657,05/15/2025 16:48:13,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
