index,timestamp,well,name,value
2803,05/15/2025 16:53:20,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
2817,05/15/2025 16:53:20,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
2902,05/15/2025 16:53:21,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
2949,05/15/2025 16:53:21,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3097,05/15/2025 16:53:42,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3144,05/15/2025 16:53:43,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3174,05/15/2025 16:53:44,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3221,05/15/2025 16:53:44,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3325,05/15/2025 16:53:56,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3372,05/15/2025 16:53:56,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3406,05/15/2025 16:54:01,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3453,05/15/2025 16:54:01,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
3714,05/15/2025 16:54:05,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
3737,05/15/2025 16:54:05,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
3760,05/15/2025 16:54:05,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
3807,05/15/2025 16:54:05,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
3858,05/15/2025 16:54:10,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
3905,05/15/2025 16:54:10,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
3939,05/15/2025 16:54:14,1,Output : Volume Dispensed,250
3977,05/15/2025 16:54:18,1,Output : Volume Dispensed,2200
4022,05/15/2025 16:54:22,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
4069,05/15/2025 16:54:22,1,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 1"
5381,05/15/2025 16:55:08,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
5404,05/15/2025 16:55:08,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
5444,05/15/2025 16:55:08,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
5491,05/15/2025 16:55:08,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
5562,05/15/2025 16:55:19,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
5609,05/15/2025 16:55:20,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
5650,05/15/2025 16:55:23,1,Output : Volume Dispensed,250
5670,05/15/2025 16:55:27,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
5717,05/15/2025 16:55:27,1,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
