index,timestamp,well,name,value
6141,05/16/2025 12:25:26,7,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
6155,05/16/2025 12:25:26,7,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
6240,05/16/2025 12:25:26,7,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
6287,05/16/2025 12:25:26,7,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
6435,05/16/2025 12:25:50,7,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
6482,05/16/2025 12:25:50,7,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
6512,05/16/2025 12:25:51,7,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
6559,05/16/2025 12:25:52,7,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
6663,05/16/2025 12:25:59,7,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
6710,05/16/2025 12:25:59,7,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
6744,05/16/2025 12:26:04,7,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
6791,05/16/2025 12:26:04,7,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
7052,05/16/2025 12:26:07,7,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 7"
7075,05/16/2025 12:26:07,7,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 7"
7098,05/16/2025 12:26:08,7,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 7"
7145,05/16/2025 12:26:08,7,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 7"
7196,05/16/2025 12:26:12,7,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 7"
7243,05/16/2025 12:26:13,7,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 7"
7277,05/16/2025 12:26:15,7,Output : Volume Dispensed,25
7315,05/16/2025 12:26:19,7,Output : Volume Dispensed,2475
7360,05/16/2025 12:26:23,7,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 7"
7407,05/16/2025 12:26:23,7,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 7"
8744,05/16/2025 12:27:09,3,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
8767,05/16/2025 12:27:09,3,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
8807,05/16/2025 12:27:09,3,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
8854,05/16/2025 12:27:09,3,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
8925,05/16/2025 12:27:16,3,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
8972,05/16/2025 12:27:16,3,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
9013,05/16/2025 12:27:18,3,Output : Volume Dispensed,25
9033,05/16/2025 12:27:22,3,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
9080,05/16/2025 12:27:22,3,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
10655,05/16/2025 12:28:08,8,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 3"
10669,05/16/2025 12:28:08,8,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 3"
10754,05/16/2025 12:28:08,8,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 3"
10801,05/16/2025 12:28:09,8,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 3"
10949,05/16/2025 12:28:32,8,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 3"
10996,05/16/2025 12:28:32,8,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 3"
11026,05/16/2025 12:28:34,8,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 3"
11073,05/16/2025 12:28:34,8,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 3"
11177,05/16/2025 12:28:41,8,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 2, 3"
