index,plate from,well from,native_from,plate to,well to,native to,volume,chaser,map,solvent (from),standard (from),volume (from),solvent (to),standard (to),volume (to),"Y, ppm"
1,plate1,A1,A1,ICP1,A1,F1,100,2300,16,0.005347593582887722,0.9946524064171123,18700.0,0.9583333333333334,0.041666666666666664,2400.0,0.8333333333333333
2,plate1,A2,A2,ICP1,A2,F2,100,2300,19,0.005347593582887722,0.9946524064171123,18700.0,0.9583333333333334,0.041666666666666664,2400.0,0.8333333333333333
3,plate1,B1,B1,ICP1,A3,F3,100,2300,22,0.005347593582887722,0.9946524064171123,18700.0,0.9583333333333334,0.041666666666666664,2400.0,0.8333333333333333
4,plate1,B2,B2,ICP1,A4,F4,100,2300,25,0.005347593582887722,0.9946524064171123,18700.0,0.9583333333333334,0.041666666666666664,2400.0,0.8333333333333333
